Reporting_Airline,DestStateName,ArrDelay
United Air Lines,Illinois,-14
American Airlines,Texas,-1
SkyWest Airlines,California,88
SkyWest Airlines,Illinois,71
Southwest,Colorado,-19
American Airlines,Texas,20
American Airlines,Texas,-9
ExpressJet Airlines,Florida,0
Delta Air Lines,Georgia,-19
ExpressJet Airlines,Illinois,136
Southwest,Colorado,-6
SkyWest Airlines,Illinois,16
ExpressJet Airlines,Illinois,-11
SkyWest Airlines,Colorado,-17
Southwest,Georgia,-24
Delta Air Lines,Florida,1
ExpressJet Airlines,Texas,151
Delta Air Lines,Georgia,90
Southwest,California,17
Southwest,Georgia,-4
American Airlines,Illinois,-19
Delta Air Lines,Florida,-3
Delta Air Lines,Florida,78
Delta Air Lines,Texas,-9
Southwest,Texas,-2
SkyWest Airlines,Colorado,-15
ExpressJet Airlines,Colorado,7
Southwest,California,-10
Southwest,Florida,17
SkyWest Airlines,California,28
American Airlines,Texas,7
Delta Air Lines,Georgia,-18
Delta Air Lines,Georgia,-17
American Airlines,Texas,93
United Air Lines,Colorado,-5
Southwest,California,0
United Air Lines,Illinois,-11
American Airlines,Florida,-11
SkyWest Airlines,Colorado,-1
Southwest,Florida,9
ExpressJet Airlines,Illinois,40
United Air Lines,Colorado,-8
Delta Air Lines,Georgia,-30
Delta Air Lines,Georgia,-40
United Air Lines,Illinois,31
Delta Air Lines,Georgia,-18
American Airlines,Texas,-7
Southwest,Illinois,-1
SkyWest Airlines,Texas,-8
American Airlines,Texas,-8
American Airlines,California,-2
Delta Air Lines,Georgia,-3
Southwest,California,-7
Southwest,California,44
ExpressJet Airlines,Georgia,-2
American Airlines,Texas,-1
SkyWest Airlines,California,-2
ExpressJet Airlines,Illinois,-11
Delta Air Lines,Georgia,-9
Delta Air Lines,Georgia,-4
Delta Air Lines,California,75
Delta Air Lines,Florida,-16
United Air Lines,Colorado,-19
American Airlines,California,46
ExpressJet Airlines,Illinois,-2
Delta Air Lines,Georgia,-5
Delta Air Lines,Georgia,0
SkyWest Airlines,California,-6
Southwest,Texas,18
Delta Air Lines,Georgia,-19
American Airlines,Texas,-7
ExpressJet Airlines,Texas,-20
American Airlines,Florida,-17
Southwest,California,-13
SkyWest Airlines,California,-9
Southwest,Georgia,-31
United Air Lines,Colorado,2
Southwest,California,-3
Delta Air Lines,Texas,-4
Southwest,Colorado,0
Southwest,California,29
Delta Air Lines,Georgia,0
American Airlines,Illinois,8
ExpressJet Airlines,Illinois,29
ExpressJet Airlines,Texas,91
Southwest,Illinois,-14
American Airlines,Florida,-2
American Airlines,Texas,4
SkyWest Airlines,Illinois,3
Delta Air Lines,Georgia,-4
Delta Air Lines,Georgia,-22
Southwest,Texas,22
Southwest,Texas,-2
American Airlines,Florida,-29
United Air Lines,California,1
American Airlines,Texas,-18
Southwest,Colorado,-5
American Airlines,Texas,82
American Airlines,Texas,21
Delta Air Lines,Georgia,-4
ExpressJet Airlines,Illinois,-4
Southwest,Colorado,-17
Southwest,California,-9
American Airlines,Texas,-9
SkyWest Airlines,Illinois,0
Delta Air Lines,Georgia,-10
Southwest,California,43
Delta Air Lines,Texas,2
Delta Air Lines,California,-34
Delta Air Lines,California,-18
Southwest,Florida,9
Delta Air Lines,Georgia,-1
Delta Air Lines,California,-18
American Airlines,Texas,-18
ExpressJet Airlines,Georgia,6
American Airlines,Illinois,-5
American Airlines,Colorado,31
SkyWest Airlines,California,76
American Airlines,Florida,-6
American Airlines,Texas,-22
SkyWest Airlines,Texas,4
SkyWest Airlines,California,100
Southwest,Florida,-8
ExpressJet Airlines,Georgia,-17
American Airlines,Illinois,-15
American Airlines,Texas,-15
Southwest,California,-8
Southwest,Texas,31
