Reporting_Airline,DelayType,DelayAmount
Delta Air Lines,CarrierDelay,4
United Air Lines,CarrierDelay,1
Delta Air Lines,CarrierDelay,171
Delta Air Lines,CarrierDelay,38
SkyWest Airlines,CarrierDelay,922
United Air Lines,CarrierDelay,48
SkyWest Airlines,CarrierDelay,17
SkyWest Airlines,CarrierDelay,80
American Airlines,CarrierDelay,60
United Air Lines,CarrierDelay,22
Delta Air Lines,CarrierDelay,92
American Airlines,CarrierDelay,31
SkyWest Airlines,CarrierDelay,42
Southwest,CarrierDelay,16
Delta Air Lines,CarrierDelay,1
Southwest,CarrierDelay,18
American Airlines,CarrierDelay,38
United Air Lines,CarrierDelay,12
Delta Air Lines,CarrierDelay,4
Southwest,CarrierDelay,5
Southwest,CarrierDelay,9
Southwest,CarrierDelay,16
United Air Lines,CarrierDelay,6
ExpressJet Airlines,CarrierDelay,189
Southwest,CarrierDelay,31
United Air Lines,CarrierDelay,20
Southwest,CarrierDelay,5
SkyWest Airlines,CarrierDelay,22
Southwest,CarrierDelay,11
Southwest,CarrierDelay,15
Delta Air Lines,CarrierDelay,17
SkyWest Airlines,CarrierDelay,24
SkyWest Airlines,CarrierDelay,10
American Airlines,CarrierDelay,736
American Airlines,CarrierDelay,58
American Airlines,CarrierDelay,54
United Air Lines,CarrierDelay,8
American Airlines,CarrierDelay,7
Southwest,CarrierDelay,62
American Airlines,CarrierDelay,23
SkyWest Airlines,CarrierDelay,16
Delta Air Lines,CarrierDelay,738
Southwest,CarrierDelay,21
ExpressJet Airlines,CarrierDelay,20
American Airlines,CarrierDelay,191
United Air Lines,CarrierDelay,11
American Airlines,CarrierDelay,40
Southwest,CarrierDelay,6
Southwest,CarrierDelay,11
Southwest,CarrierDelay,109
Southwest,CarrierDelay,5
Delta Air Lines,CarrierDelay,32
United Air Lines,CarrierDelay,17
Delta Air Lines,CarrierDelay,65
SkyWest Airlines,CarrierDelay,101
American Airlines,CarrierDelay,33
Southwest,CarrierDelay,35
Southwest,CarrierDelay,8
American Airlines,CarrierDelay,1
Southwest,CarrierDelay,11
Delta Air Lines,CarrierDelay,215
SkyWest Airlines,CarrierDelay,22
Southwest,CarrierDelay,3
Southwest,CarrierDelay,2
Delta Air Lines,CarrierDelay,17
Southwest,CarrierDelay,180
Southwest,CarrierDelay,6
Delta Air Lines,CarrierDelay,3
ExpressJet Airlines,CarrierDelay,14
Southwest,CarrierDelay,7
SkyWest Airlines,CarrierDelay,2
Delta Air Lines,CarrierDelay,992
Delta Air Lines,CarrierDelay,12
Southwest,CarrierDelay,11
Southwest,CarrierDelay,145
Southwest,CarrierDelay,3
ExpressJet Airlines,CarrierDelay,155
SkyWest Airlines,CarrierDelay,10
Southwest,CarrierDelay,1
American Airlines,CarrierDelay,11
Southwest,CarrierDelay,48
Southwest,CarrierDelay,6
Southwest,CarrierDelay,11
SkyWest Airlines,CarrierDelay,68
ExpressJet Airlines,CarrierDelay,36
ExpressJet Airlines,CarrierDelay,70
SkyWest Airlines,CarrierDelay,161
SkyWest Airlines,CarrierDelay,14
Southwest,CarrierDelay,26
ExpressJet Airlines,CarrierDelay,221
